seed,alg,layer,err,n
16,ADAPT,17,2.886579864025407e-15,4
16,ADAPT,18,5.551115123125783e-15,4
16,ADAPT,19,8.43769498715119e-15,4
16,ADAPT,20,1.4654943925052066e-14,4
16,ADAPT,21,1.887379141862766e-14,4
16,ADAPT,22,1.6209256159527285e-14,4
16,QAOA,2,0.28251136493713624,4
16,QAOA,4,0.14850545876786048,4
16,QAOA,6,0.08884959207568932,4
16,QAOA,8,0.03781633988473976,4
16,QAOA,10,0.00938045565114276,4
16,QAOA,12,0.011887362643838273,4
16,QAOA,14,9.170508611444639e-5,4
16,QAOA,16,1.4440624131362156e-5,4
16,QAOA,18,1.1355361283715837e-5,4
17,ADAPT,2,1.0781011284400397,4
17,ADAPT,3,0.6243656613741266,4
17,ADAPT,4,0.19492589572563013,4
17,ADAPT,5,0.1949013250489755,4
17,ADAPT,6,5.720656293783932e-5,4
17,ADAPT,7,1.0680320358780193e-5,4
17,ADAPT,8,1.317605029527158e-7,4
17,ADAPT,9,1.2175788555168765e-7,4
17,ADAPT,10,7.497181853111101e-8,4
17,ADAPT,11,4.643550344241021e-8,4
17,ADAPT,12,2.9076613561329623e-8,4
17,ADAPT,13,1.8206661955844083e-8,4
17,ADAPT,14,1.1400421939811167e-8,4
17,ADAPT,15,7.138639901427268e-9,4
17,ADAPT,16,4.470023018399161e-9,4
17,ADAPT,17,2.7990387785337134e-9,4
17,ADAPT,18,1.752696210388649e-9,4
17,ADAPT,19,1.0975016451197916e-9,4
17,ADAPT,20,6.87236489937959e-10,4
17,ADAPT,21,4.303251088799698e-10,4
17,ADAPT,22,2.6946489484203084e-10,4
17,QAOA,2,0.5209670017640042,4
17,QAOA,4,0.26892504403237893,4
17,QAOA,6,0.2629895814082537,4
17,QAOA,8,0.07482036018323068,4
17,QAOA,10,0.03418104144694789,4
17,QAOA,12,0.008117053064951474,4
17,QAOA,14,0.021550836861816247,4
17,QAOA,16,1.171637525221314e-6,4
17,QAOA,18,8.114732752417808e-8,4
18,ADAPT,2,0.7383438383001093,4
18,ADAPT,3,0.2805932316120763,4
18,ADAPT,4,0.043235970358630915,4
18,ADAPT,5,1.4321317288068514e-5,4
18,ADAPT,6,8.826663664418533e-6,4
18,ADAPT,7,8.722935480598437e-7,4
18,ADAPT,8,7.54471389807776e-7,4
18,ADAPT,9,4.947215126449578e-8,4
18,ADAPT,10,7.474363350468138e-10,4
18,ADAPT,11,1.3782042174170783e-10,4
